Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,4,1.4365972E-001,-7.6230007E-003,9.6118942E-021,-9.6172843E-005,-4.0054376E-006,-3.8312484E-020,---,---,---,---,---,---,---,---,---
,,,,5,1.7543664E-001,-9.5713412E-003,3.3453078E-020,-9.1404832E-005,-3.7571905E-006,-4.2359826E-020,---,---,---,---,---,---,---,---,---
,,,,6,2.0762108E-001,-1.1497790E-002,7.4645665E-020,-1.1195404E-004,-4.1967258E-006,-6.0572895E-020,---,---,---,---,---,---,---,---,---
,,,,7,2.3678808E-001,-1.3462749E-002,1.4266175E-019,-8.0621012E-005,-3.1233820E-006,-6.8867527E-020,---,---,---,---,---,---,---,---,---
,,,,8,2.6214791E-001,-1.5447189E-002,2.5663553E-019,-2.9564871E-005,-1.3444725E-006,-7.3625654E-020,---,---,---,---,---,---,---,---,---
,,,,9,2.8682595E-001,-1.7412819E-002,4.4976996E-019,-7.7188347E-006,-5.2364501E-007,-1.0452464E-019,---,---,---,---,---,---,---,---,---
,,,,10,3.0913004E-001,-1.9398539E-002,7.8404746E-019,5.5341530E-005,1.7614765E-006,-1.1547621E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,3.0913004E-001,-1.8946153E-003,-5.8763430E-021,5.5341530E-005,1.7614765E-006,-2.5640946E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,3.7513006E-002,-1.9398539E-002,-5.8763430E-021,-1.1195404E-004,-4.0054376E-006,-2.5640946E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,6,4,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,-3.3038663E-020,8.3337341E-018,-7.9918017E-003,-2.5472635E-020,1.7540057E-025,3.2916486E-005,---,---,---,---,---,---,---,---,---
,,,,2,-4.0279439E-020,1.7917343E-017,-1.5900927E-002,-2.9075076E-020,3.9681433E-025,6.4893549E-005,---,---,---,---,---,---,---,---,---
,,,,3,-1.4453429E-020,2.9418284E-017,-2.2099373E-002,-2.7760475E-020,5.9515152E-025,7.7090069E-005,---,---,---,---,---,---,---,---,---
,,,,4,5.7469073E-020,4.3625432E-017,-2.8163107E-002,-3.4329940E-020,1.2614200E-024,1.0073150E-004,---,---,---,---,---,---,---,---,---
