Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3986932E-001,3.0793951E+000,1.2074404E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3976462E-001,4.1172603E+000,2.2839272E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3963994E-001,5.0028217E+000,4.0291458E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3948410E-001,5.9523233E+000,6.9865898E-020,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3933779E-001,6.5901373E+000,1.1590107E-019,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3917613E-001,7.1629882E+000,1.9237160E-019,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3896008E-001,7.9743163E+000,3.3292836E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3879809E-001,8.3702392E+000,5.6723347E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5082166E-001,8.3702392E+000,1.3975621E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3993819E-001,1.0740757E+000,1.3975621E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,2,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-002
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.9483499E-001,4.1556415E-005,2.0598328E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999999E-001,1.2597130E-004,6.7192000E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999997E-001,1.9499441E-004,1.1054060E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999995E-001,2.6458523E-004,1.6452491E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999992E-001,3.3784266E-004,2.3525352E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999989E-001,4.1031052E-004,3.3190457E-020,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999984E-001,4.8420556E-004,4.7253344E-020,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999979E-001,5.6262217E-004,6.8570779E-020,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999972E-001,6.4451114E-004,1.0254012E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999965E-001,7.2247092E-004,1.6034494E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.9483499E-001,7.2247092E-004,2.0598328E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.4999999E-001,4.1556415E-005,2.0598328E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,2,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-003
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.7950124E-001,6.6811033E-005,1.9960086E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-9.5913093E-001,2.6729908E-004,8.5922497E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.4974841E+000,6.4897927E-004,2.2066903E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699997E+000,1.1598601E-003,4.3196493E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699994E+000,1.4864925E-003,6.1745851E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699992E+000,1.8091723E-003,8.7068275E-020,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699988E+000,2.1446732E-003,1.2388051E-019,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699984E+000,2.5018632E-003,1.7961825E-019,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699979E+000,2.8735597E-003,2.6829979E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699973E+000,3.2337259E-003,4.1898684E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.7950124E-001,3.2337259E-003,1.9960086E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9699997E+000,6.6811033E-005,1.9960086E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,4,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-004
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.5753891E-001,8.3168098E-005,1.9045906E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-9.1520265E-001,3.3275024E-004,8.1980449E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.4291042E+000,8.0939748E-004,2.1054018E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.9434267E+000,1.4960046E-003,4.2591258E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5050806E+000,2.4770869E-003,7.8445450E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899981E+000,3.1210125E-003,1.1430248E-019,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899973E+000,3.7144542E-003,1.6251978E-019,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899964E+000,4.3484653E-003,2.3543700E-019,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899952E+000,5.0059431E-003,3.5126866E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899938E+000,5.6529401E-003,5.4780287E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.5753891E-001,5.6529401E-003,1.9045906E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.5899981E+000,8.3168098E-005,1.9045906E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,6,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3059576E-001,9.1661585E-005,1.7924378E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-8.6131078E-001,3.6673829E-004,7.7145479E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.3451117E+000,8.9299249E-004,1.9810755E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.8292535E+000,1.6509475E-003,4.0064812E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.3583189E+000,2.7374428E-003,7.3773825E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.8797854E+000,4.0763796E-003,1.2688541E-019,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2199954E+000,5.4408017E-003,2.0157933E-019,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2199937E+000,6.3905971E-003,2.9175094E-019,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2199916E+000,7.3716940E-003,4.3475671E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2199892E+000,8.3533771E-003,6.7703858E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.3059576E-001,8.3533771E-003,1.7924378E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2199954E+000,9.1661585E-005,1.7924378E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,7,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-006
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.0011074E-001,9.3675440E-005,1.6655403E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-8.0033367E-001,3.7480011E-004,7.1676140E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.2500088E+000,9.1323597E-004,1.8404008E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.6999536E+000,1.6886549E-003,3.7208175E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.1919543E+000,2.8025330E-003,6.8492978E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.6768614E+000,4.1754440E-003,1.1773880E-019,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.2168023E+000,6.0007754E-003,2.0087604E-019,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.8139813E+000,8.3787936E-003,3.4436876E-019,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.8399876E+000,9.7460135E-003,5.1600304E-019,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.8399840E+000,1.1082340E-002,8.0237098E-019,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-4.0011074E-001,1.1082340E-002,1.6655403E-021,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,10,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.8399876E+000,9.3675440E-005,1.6655403E-021,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,9,1,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,7,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,8,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,9,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
,,,,10,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Max Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,0.0000000E+000,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,1,1,1,1,1,---,---,---,---,---,---,---,---,---
*,Node,Name,sHçY3-007
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,0.0000000E+000,0.0000000E+000,0.0000000E+000,-3.6732639E-001,9.0701861E-005,1.5290704E-021,---,---,---,---,---,---,---,---,---
,,,,2,0.0000000E+000,0.0000000E+000,0.0000000E+000,-7.3475676E-001,3.6290586E-004,6.5795613E-021,---,---,---,---,---,---,---,---,---
,,,,3,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.1476834E+000,8.8467902E-004,1.6891496E-020,---,---,---,---,---,---,---,---,---
,,,,4,0.0000000E+000,0.0000000E+000,0.0000000E+000,-1.5608174E+000,1.6360376E-003,3.4138808E-020,---,---,---,---,---,---,---,---,---
,,,,5,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.0128201E+000,2.7170227E-003,6.2821277E-020,---,---,---,---,---,---,---,---,---
,,,,6,0.0000000E+000,0.0000000E+000,0.0000000E+000,-2.4582844E+000,4.0495551E-003,1.0792676E-019,---,---,---,---,---,---,---,---,---
