,,ç≈ëÂê‚ëŒíl,
óvëfñº,N,SYP,MZP
HçY1-062,-2.1998056E+001,8.4236510E-002,-2.1063030E-002
HçY1-063,-2.2154766E+001,6.3802205E-002,-5.1984559E-003
HçY1-064,-2.2468187E+001,4.5987781E-002,8.9294957E-003
HçY1-065,-2.2468187E+001,-3.1959012E-002,8.9258086E-003
HçY1-066,-2.2624899E+001,-4.4799645E-002,8.7372018E-003
HçY1-067,-2.2781609E+001,-4.4895139E-002,4.6961978E-003
å„Ê‰-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
å„Ê‰-002,6.8142738E+001,1.5962532E+002,3.1103979E+001
å„Ê‰-003,3.1978521E+001,1.3649161E+002,3.2272995E+001
å„Ê‰-004,3.5598797E+001,1.0880903E+002,7.6728165E+001
å„Ê‰-005,-4.6377063E+000,3.2139019E+001,-9.4062386E+000
å„Ê‰-006,-2.2998269E+000,1.6230734E+001,-2.3400364E+000
ëOÊ‰-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
ëOÊ‰-002,-7.8686302E+001,-2.6683154E+002,-5.1476559E+001
ëOÊ‰-003,-2.7612045E+001,-2.2651108E+002,5.0615246E+001
ëOÊ‰-004,-3.2146431E+001,-2.3093387E+002,-8.5102112E+001
ñÓî¬-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
ñÓî¬-002,-5.2147327E+001,-3.6142319E+001,7.1466850E+001
ñÓî¬-003,-5.4950035E+001,-3.4945374E+001,6.0800827E+001
ñÓî¬-004,-5.7727100E+001,-3.1744110E+001,5.0495766E+001
ñÓî¬-005,-6.0507946E+001,-2.8674953E+001,4.1152802E+001
ñÓî¬-006,-6.3300922E+001,-2.5767351E+001,3.2732132E+001
ñÓî¬-007,-6.6110855E+001,-2.3044794E+001,2.5185116E+001
ñÓî¬-008,-6.8939972E+001,-2.0525419E+001,1.8456059E+001
ñÓî¬-009,-7.1788597E+001,-1.8222582E+001,1.2483820E+001
ñÓî¬-010,-7.4655807E+001,-1.6145384E+001,7.2032585E+000
ñÓî¬-011,-7.7539848E+001,-1.4299151E+001,2.5465033E+000
ñÓî¬-012,-8.3326035E+001,-1.2685879E+001,-5.1884270E+000
ñÓî¬-013,-8.6236992E+001,-1.1304601E+001,-8.3921814E+000
ñÓî¬-014,-8.9642372E+001,-1.0138828E+001,-1.1691495E+001
ñÓî¬-015,-9.2574951E+001,-9.0871849E+000,-1.4230992E+001
ñÓî¬-016,-9.5511101E+001,-7.5915012E+000,-1.6320972E+001
ñÓî¬-017,-9.8450752E+001,-5.6688824E+000,-1.7834547E+001
ñÓî¬-018,-1.0138991E+002,-4.1125298E+000,-1.8881729E+001
ñÓî¬-019,-1.0432671E+002,-2.8988397E+000,-1.9565437E+001
ñÓî¬-020,-1.0725996E+002,-2.0026808E+000,-1.9981028E+001
ñÓî¬-021,-1.1018890E+002,-1.3978801E+000,-2.0215992E+001
ñÓî¬-022,-1.1214490E+002,-9.6344626E-001,-2.0318846E+001
ñÓî¬-023,-1.1506013E+002,-9.7112054E-001,-2.0423046E+001
ñÓî¬-024,-1.1509028E+002,1.5774239E+000,-2.0414387E+001
ñÓî¬-025,-1.1800315E+002,3.6934993E+000,-2.0106766E+001
ñÓî¬-026,-1.2091001E+002,5.2083964E+000,-1.9165352E+001
ñÓî¬-027,-1.2381155E+002,6.2151685E+000,-1.7770470E+001
ñÓî¬-028,-1.2670872E+002,6.8003211E+000,-1.6074507E+001
ñÓî¬-029,-1.2960251E+002,7.0422883E+000,-1.4203877E+001
ñÓî¬-030,-1.3249380E+002,7.0105357E+000,-1.2261449E+001
ñÓî¬-031,-1.3538339E+002,6.7651658E+000,-1.0329243E+001
ñÓî¬-032,-1.3827190E+002,6.3569365E+000,-8.4712429E+000
ñÓî¬-033,-1.4115977E+002,5.8275981E+000,-6.7362084E+000
ñÓî¬-034,-1.4404730E+002,5.2104707E+000,-5.1603746E+000
ñÓî¬-035,-1.4693471E+002,4.5312076E+000,-3.7699883E+000
ñÓî¬-036,-1.4982210E+002,3.8086956E+000,-2.5836077E+000
ñÓî¬-037,-1.5270949E+002,3.0560427E+000,-1.6141361E+000
ñÓî¬-038,-1.5559692E+002,2.2816422E+000,-8.7055671E-001
ñÓî¬-039,-1.5848436E+002,1.4902786E+000,-3.5934865E-001
ñÓî¬-040,-1.6137183E+002,9.1829830E-001,-8.5566156E-002
ëOÊ‰-005,2.9152555E+000,5.5752239E+000,-1.1268564E+000
ãÎëÃ-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
ãÎëÃ-002,-8.0480370E+001,-8.5867805E+001,1.0930811E+002
ãÎëÃ-003,-6.8378273E+001,-6.4138527E+001,7.1847443E+001
ãÎëÃ-004,-6.1529594E+001,-5.2278152E+001,5.4373047E+001
ãÎëÃ-005,-5.2782314E+001,-3.8238415E+001,3.6295891E+001
ãÎëÃ-006,-4.4531116E+001,-2.6160576E+001,2.3448721E+001
ãÎëÃ-007,-3.6773350E+001,-1.6046038E+001,1.5045839E+001
ãÎëÃ-008,-2.9618401E+001,-1.0301793E+001,1.0073756E+001
ãÎëÃ-009,-2.3026381E+001,-8.0191507E+000,6.3944192E+000
ãÎëÃ-010,-1.6837812E+001,-5.8741951E+000,3.6026559E+000
ãÎëÃ-011,-1.1015634E+001,-3.9733462E+000,1.6425248E+000
ãÎëÃ-012,-4.3667912E+000,-1.5454440E+000,2.4199018E-001
HçY3-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
HçY3-002,3.6781938E+000,4.1874714E+001,7.8388550E+001
HçY3-003,3.6224692E+000,4.1182198E+001,6.5835251E+001
HçY3-004,3.5778339E+000,3.9271030E+001,5.3489506E+001
HçY3-005,3.5300281E+000,3.6741081E+001,4.1716942E+001
HçY3-006,3.4682591E+000,3.3582218E+001,3.0703234E+001
HçY3-007,3.3840232E+000,2.9804281E+001,2.0637102E+001
HçY3-008,3.2694061E+000,2.5187141E+001,1.1704308E+001
HçY3-009,3.1279941E+000,2.0994997E+001,4.1566548E+000
HçY3-010,2.8070045E+000,1.7234434E+001,-7.2942476E+000
HçY3-011,2.6246696E+000,1.3902311E+001,-1.1456359E+001
HçY3-012,2.4292357E+000,1.0987501E+001,-1.4743952E+001
HçY3-013,2.2253339E+000,8.4724331E+000,-1.7276939E+001
HçY3-014,1.9864149E+000,6.1619611E+000,-1.9421356E+001
HçY3-015,1.7728202E+000,4.2801051E+000,-2.0696419E+001
HçY3-016,1.5641432E+000,2.1109807E+000,-2.1320690E+001
HçY3-017,1.5161414E+000,-3.6020643E-001,-2.1320993E+001
HçY3-018,1.3183531E+000,-2.1427009E+000,-2.1240406E+001
HçY3-019,-1.3558478E+000,-3.5434906E+000,-2.0607172E+001
HçY3-020,-1.4618753E+000,-4.5671411E+000,-1.9553654E+001
HçY3-021,-1.5660871E+000,-5.2744398E+000,-1.8192999E+001
HçY3-022,-1.6664369E+000,-5.6371188E+000,-1.6620138E+001
HçY3-023,-1.7337555E+000,-5.9002399E+000,-1.5496941E+001
HçY3-024,-1.8316082E+000,-6.2832923E+000,-1.3736292E+001
HçY3-025,-1.9279481E+000,-6.4278755E+000,-1.1860715E+001
HçY3-026,-2.0232196E+000,-6.2144699E+000,-9.9417553E+000
HçY3-027,-2.1178143E+000,-5.7577329E+000,-8.0868139E+000
HçY3-028,-2.2120223E+000,-5.1510844E+000,-6.3688927E+000
HçY3-029,-2.3060403E+000,-4.4682369E+000,-4.8329673E+000
HçY3-030,-2.3999891E+000,-3.7652502E+000,-3.5018983E+000
HçY3-031,-2.4939339E+000,-3.0828571E+000,-2.3817279E+000
HçY3-032,-2.5879035E+000,-2.4488735E+000,-1.4662786E+000
HçY3-033,-2.6819041E+000,-1.8805400E+000,-7.4102652E-001
HçY3-034,-2.8699577E+000,-1.3867033E+000,2.2033177E-001
HçY3-035,-2.9640031E+000,-9.6977544E-001,5.0185096E-001
HçY3-036,-3.0580575E+000,-6.2744021E-001,6.8066889E-001
HçY3-037,-3.1521146E+000,-3.5409474E-001,7.7748305E-001
HçY3-038,-3.2461691E+000,-1.4203613E-001,8.1068003E-001
